Number,Title,Publication Year,Labels,DOI
74,Combining metabolome and clinical indicators with machine learning provides some promising diagnostic markers to precisely detect smear-positive/negative pulmonary tuberculosis.,2022,diagnostics; infectious disease; tuberculosis; machine learning; radiology,
75,Early Prediction of Sepsis Onset Using Neural Architecture Search Based on Genetic Algorithms.,2022,diagnostics; infectious disease; sepsis; neural network; deep learning,
76,Recommended antibiotic treatment agreement between infectious diseases specialists and ChatGPT().,2025,therapeutics; education; infectious disease; sepsis; bloodstream infection; respiratory infection; urinary tract infection; urosepsis; pneumonia; E. coli; MDRO; ESBL; large language model; antimicrobial; simulated patient,
77,Combining deep learning and droplet microfluidics for rapid and label-free antimicrobial susceptibility testing of colistin.,2024,diagnostics; infectious disease; E. coli; Klebsiella; deep learning; antimicrobial,
78,Explainable AI for enhanced accuracy in malaria diagnosis using ensemble machine learning models.,2025,diagnostics; infectious disease; malaria; machine learning,
79,Extracting information on pneumonia in infants using natural language processing of radiology reports.,2005,diagnostics; infectious disease; respiratory infection; pneumonia; large language model; natural language processing; radiology,
80,Complete blood count and C-reactive protein to predict positive blood culture among neonates using machine learning algorithms.,2023,diagnostics; microbiology; infectious disease; bloodstream infection; machine learning; paediatrics; radiology,
81,Applying artificial neural network in predicting Sepsis mortality in the emergency department based on clinical features and complete blood count parameters.,2023,diagnostics; therapeutics; infectious disease; sepsis; neural network; deep learning,
82,Research of mortality risk prediction based on hospital admission data for COVID-19 patients.,2023,diagnostics; therapeutics; infectious disease; COVID-19; machine learning,
83,Integration of a recent infection testing algorithm into HIV surveillance in Ireland: improving HIV knowledge to target prevention.,2019,diagnostics; infectious disease; HIV; regression modelling; public health,
84,Virus Detection and Identification in Minutes Using Single-Particle Imaging and Deep Learning.,2023,diagnostics; infectious disease; COVID-19; deep learning; computer vision; radiology,
85,OnAI-Comp: An Online AI Experts Competing Framework for Early Sepsis Detection.,2022,diagnostics; infectious disease; sepsis; deep learning,
86,Detection of carbapenem-resistant Klebsiella pneumoniae on the basis of matrix-assisted laser desorption ionization time-of-flight mass spectrometry by using supervised machine learning approach.,2020,diagnostics; microbiology; Klebsiella; machine learning; mass spectrometry,
87,High-content high-resolution microscopy and deep learning-assisted analysis reveals host and bacterial heterogeneity during Shigella infection.,2025,diagnostics; microbiology; infectious disease; Shigella; bacterial species (variety/broad); deep learning; computer vision; cell culture; microphotography; microscopy,
88,Near infrared spectroscopy (NIRS) and machine learning as a promising tandem for fast viral detection in serum microsamples: A preclinical proof of concept.,2024,diagnostics; microbiology; infectious disease; hepatitis C; viral hepatitis; HCV; machine learning; PCA; L1-penalized classification; Near infrared spectroscopy; biomarkers; serum microsamples; screening,10.1016/j.saa.2024.124819
89,Computational Screening Using a Combination of Ligand-Based machine learning and Molecular Docking Methods for the Repurposing of Antivirals Targeting the SARS-CoV-2 Main Protease.,2024,therapeutics; diagnostics; infectious disease; COVID-19; machine learning; screening,
90,machine learning approach for the prediction of 30-day mortality in patients with Sepsis-associated delirium.,2025,diagnostics; therapeutics; infectious disease; sepsis; machine learning; Delirium,
91,Deep Learning on Chest X-ray Images to Detect and Evaluate Pneumonia Cases at the Era of COVID-19.,2021,diagnostics; infectious disease; COVID-19; respiratory infection; pneumonia; deep learning; computer vision; radiology,
92,Multi-Modal Diagnosis of infectious diseases in the Developing World.,2020,diagnostics; infectious disease; HFMD; deep learning,
93,AI-driven rapid identification of bacterial and fungal pathogens in blood smears of septic patients.,2025,diagnostics; microbiology; infectious disease; bacterial species (variety/broad); fungal species (variety/broad); deep learning,
94,BSAC Vanguard Series: Artificial intelligence and antibiotic stewardship.,2022,microbiology; therapeutics; infectious disease; Artificial intelligence,10.1093/jac/dkac096
95,Can Chatbot Artificial Intelligence Replace infectious diseases Physicians in the Management of Bloodstream Infections? A Prospective Cohort Study.,2024,diagnostics; therapeutics; education; microbiology; infectious disease; bloodstream infection; machine learning; large language model; antimicrobial; simulated patient,
96,An Explainable Artificial Intelligence Predictor for Early Detection of Sepsis.,2020,diagnostics; infectious disease; sepsis; machine learning,
97,"Cholesterol Contributes to Risk, Severity, and machine learning-Driven Diagnosis of Lyme Disease.",2023,diagnostics; infectious disease; Lyme disease; machine learning,
98,Automated machine learning for endemic active tuberculosis prediction from multiplex serological data.,2021,diagnostics; infectious disease; tuberculosis; machine learning,
99,Natural Language Processing and machine learning to Enable Clinical Decision Support for Treatment of Pediatric Pneumonia.,2020,diagnostics; therapeutics; infectious disease; respiratory infection; pneumonia; machine learning; natural language processing; paediatrics,
100,Domain-Scan: Combinatorial Sero-Diagnosis of infectious diseases Using machine learning.,2020,diagnostics; microbiology; infectious disease; HIV; machine learning,
101,Constructing High-Fidelity Phenotype Knowledge Graphs for infectious diseases With a Fine-Grained Semantic Information Model: Development and Usability Study.,2021,diagnostics; infectious disease; infectious disease broad; knowledge graph; semantic information model; natural language processing; phenotyping; clinical guidelines; semantic modelling,10.2196/26892
102,A novel deep learning-based point-of-care diagnostic method for detecting Plasmodium falciparum with fluorescence digital microscopy.,2020,diagnostics; microbiology; infectious disease; malaria; deep learning; microscopy; point of care,
103,Can artificial intelligence and machine learning help us treat Sepsis?,2021,therapeutics; infectious disease; sepsis; machine learning,
104,Feature selection and prediction of treatment failure in tuberculosis.,2018,therapeutics; microbiology; infectious disease; tuberculosis; machine learning; feature selection; regression modelling; treatment failure; antimicrobial resistance; microscopy; drug sensitivity,10.1371/journal.pone.0207491
105,Prediction models for COVID-19 disease outcomes.,2024,diagnostics; therapeutics; infectious disease; COVID-19; machine learning,
106,Predicting outcomes in central venous catheter salvage in pediatric central line-associated bloodstream infection.,2021,diagnostics; therapeutics; infectious disease; bloodstream infection; machine learning; paediatrics,
107,Plasma immune profiling combined with machine learning contributes to diagnosis and prognosis of active pulmonary tuberculosis.,2024,diagnostics; therapeutics; infectious disease; tuberculosis; neural network; machine learning,
108,Artificial intelligence in Sepsis early prediction and diagnosis using unstructured data in healthcare.,2021,diagnostics; infectious disease; sepsis; machine learning,
109,Identifying infected patients using semi-supervised and transfer learning.,2022,diagnostics; infectious disease; bloodstream infection; deep learning; machine learning; semi-supervised learning; retrospective analysis,
110,Development of MAST: A Microscopy-Based Antimicrobial Susceptibility Testing Platform.,2017,diagnostics; microbiology; bacterial species broad; antimicrobial susceptibility; deep learning; image classification; computer vision; microscopy; antimicrobial susceptibility testing; MAST; antimicrobial,10.1177/2472630317727721
111,ANFIS-Net for automatic detection of COVID-19.,2021,diagnostics; infectious disease; COVID-19; fuzzy logic; radiology,
112,Enabling real-time tuberculosis detection in hospital radiology through scalable actor-learner architectures for distributed deep reinforcement learning.,2025,diagnostics; infectious disease; tuberculosis; mycobacterium; deep learning; machine learning; radiology,
113,Machine-learning based prediction and analysis of prognostic risk factors in patients with candidemia and bacteraemia: a 5-year analysis.,2022,therapeutics; infectious disease; candidemia; machine learning,
114,"Identification and experimental validation of diagnostic and prognostic genes CX3CR1, PID1 and PTGDS in Sepsis and ARDS using bulk and single-cell transcriptomic analysis and machine learning.",2024,diagnostics; therapeutics; microbiology; infectious disease; sepsis; machine learning,
115,ChatGPT fails challenging the recent ESCMID brain abscess guideline.,2024,diagnostics; therapeutics; education; infectious disease; brain abscess; Large Language Model; ChatGPT; natural language processing; guideline comparison; antimicrobial; clinical decision support,10.1007/s00415-023-12168-1
116,Chest x-ray images: transfer learning model in COVID-19 detection.,2025,diagnostics; infectious disease; COVID-19; computer vision; machine learning; radiology,
117,Clinical evaluation of the APAS Independence: Automated imaging and interpretation of urine cultures using artificial intelligence with composite reference standard discrepant resolution.,2020,diagnostics; microbiology; infectious disease; urinary tract infection; machine learning; computer vision; urine culture; radiology,
118,COVID-19 Outcome Prediction by Integrating Clinical and Metabolic Data using machine learning Algorithms.,2022,diagnostics; therapeutics; infectious disease; COVID-19; machine learning,
119,Rapid detection of carbapenem-resistant Escherichia coli and carbapenem-resistant Klebsiella pneumoniae in positive blood cultures via MALDI-TOF MS and tree-based machine learning models.,2025,diagnostics; microbiology; infectious disease; bloodstream infection; E. coli; Klebsiella; machine learning; MALDI-TOF,
120,Preparing for the next pandemic via transfer learning from existing diseases with hierarchical multi-modal BERT: a study on COVID-19 outcome prediction.,2022,diagnostics; education; therapeutics; infectious disease; COVID-19; respiratory infection; neural network; machine learning; public health; simulated patient,
121,An Intelligent Sensor Based Decision Support System for Diagnosing Pulmonary Ailment through Standardized Chest X-ray Scans.,2022,diagnostics; infectious disease; COVID-19; deep learning; machine learning; computer vision; radiology,
122,Potential of vibrational spectroscopy coupled with machine learning as a non-invasive diagnostic method for COVID-19.,2023,diagnostics; microbiology; infectious disease; COVID-19; computer vision; machine learning; vibrational spectroscopy,
123,Clinician Perception of a machine learning-Based Early Warning System Designed to Predict Severe Sepsis and Septic Shock.,2019,diagnostics; infectious disease; septic shock; sepsis; machine learning; radiology,
124,An optimized geo-hierarchical ensemble model to forecast hospitalizations from respiratory viruses in the United States.,2025,diagnostics; infectious disease; COVID-19; respiratory virus; influenza; RSV; machine learning; public health,
125,Association between the (neutrophil?+?monocyte)/albumin ratio and all-cause mortality in Sepsis patients: a retrospective cohort study and predictive model establishment according to machine learning.,2025,diagnostics; therapeutics; infectious disease; sepsis; machine learning; retrospective analysis,
126,"A machine learning Algorithm to Predict Severe Sepsis and Septic Shock: Development, Implementation, and Impact on Clinical Practice.",2019,diagnostics; infectious disease; septic shock; sepsis; machine learning; radiology,
127,machine learning Reveals the Value of Unconventional T Lymphocytes in Sepsis and Prognosis of Elderly Patients With Severe Lower Respiratory Tract Infections.,2025,diagnostics; therapeutics; infectious disease; sepsis; respiratory infection; machine learning; lower respiratory tract infections; radiology,
128,"The impact of artificial intelligence-driven decision support on uncertain antimicrobial prescribing: a randomised, multimethod study.",2025,therapeutics; infectious disease; antimicrobial prescribing; infectious disease broad; machine learning; interpretable machine learning; clinical decision support system; antimicrobial; antimicrobial stewardship; pharmacotherapy; intravenous-to-oral switch; randomised multimethod study; clinical vignette experiment,10.1016/j.landig.2025.100912
129,Automatic diagnostics of tuberculosis using convolutional neural networks analysis of MODS digital images.,2019,diagnostics; infectious disease; tuberculosis; neural network; deep learning; radiology,
130,COVID-19 detection in CT and CXR images using deep learning models.,2022,diagnostics; infectious disease; COVID-19; deep learning; machine learning; large language model; radiology,
131,Bio inspired feature selection and graph learning for Sepsis risk stratification.,2025,diagnostics; infectious disease; sepsis; deep learning,
132,Early prediction of Sepsis associated encephalopathy in elderly ICU patients using machine learning models: a retrospective study based on the MIMIC-IV database.,2025,therapeutics; diagnostics; infectious disease; sepsis; machine learning; retrospective analysis,
133,ResNet-EfficientNet powered framework for high-precision cough-based classification of infectious diseases.,2025,diagnostics; infectious disease; COVID-19; deep learning,
134,MGP-AttTCN: An interpretable machine learning model for the prediction of Sepsis.,2021,diagnostics; infectious disease; sepsis; machine learning,
135,LDDNet: A Deep Learning Framework for the Diagnosis of Infectious Lung Diseases.,2023,diagnostics; infectious disease; COVID-19; respiratory infection; respiratory virus; influenza; deep learning; computer vision; machine learning; radiology; screening; bronchopneumonia,
136,Comparing machine learning screening approaches using clinical data and cytokine profiles for COVID-19 in resource-limited and resource-abundant settings.,2024,diagnostics; infectious disease; COVID-19; machine learning; screening,
137,Artificial Intelligence Pulse Coupled Neural Network Algorithm in the Diagnosis and Treatment of Severe Sepsis Complicated with Acute Kidney Injury under Ultrasound Image.,2021,diagnostics; therapeutics; infectious disease; sepsis; deep learning; neural network; Acute Kidney Injury (AKI); radiology,
138,Predicting Progression to Septic Shock in the Emergency Department Using an Externally Generalizable Machine-Learning Algorithm.,2021,diagnostics; infectious disease; septic shock; sepsis; machine learning,
139,Identification of DNA damage repair-related genes in Sepsis using bioinformatics and machine learning: An observational study.,2025,diagnostics; microbiology; infectious disease; sepsis; machine learning,
140,Comparative performance of two automated machine learning platforms for COVID-19 detection by MALDI-TOF-MS.,2022,diagnostics; microbiology; infectious disease; COVID-19; machine learning; MALDI-TOF,
141,"Rapid Screening of Methicillin-Resistant Staphylococcus aureus Using MALDI-TOF MS and machine learning: A Randomized, Multicenter Study.",2025,diagnostics; microbiology; infectious disease; bloodstream infection; Staphylococcus; machine learning; screening; MALDI-TOF; randomized controlled trial,
142,Nasopharyngeal metabolomics and machine learning approach for the diagnosis of influenza.,2021,diagnostics; infectious disease; influenza; machine learning,
143,COVID-19 detection using chest X-ray images based on a developed deep neural network.,2022,diagnostics; infectious disease; COVID-19; respiratory infection; respiratory virus; influenza; pneumonia; deep learning; computer vision; large language model; neural network; radiology,
144,Could it be mpox? Use of an AI-based epidemic early warning system to monitor rash and fever illness.,2023,diagnostics; infectious disease; monkeypox; machine learning; mpox,
145,Rapid reagent free COVID19 detection using MEMS based FTIR spectroscopy and machine learning in NIR and MIR regions.,2025,diagnostics; microbiology; infectious disease; COVID-19; respiratory infection; machine learning; infrared spectroscopy,
146,Using random forest and biomarkers for differentiating COVID-19 and Mycoplasma pneumoniaeinfections.,2024,diagnostics; infectious disease; COVID-19; machine learning,
147,Prediction of Sepsis mortality in ICU patients using machine learning methods.,2024,therapeutics; diagnostics; infectious disease; sepsis; machine learning,
148,Self-Assembled Plasmonic Magnifier: A New Platform for Ultra-Sensitive Detection of Respiratory Viruses Using Surface-Enhanced Raman Spectroscopy.,2025,Respiratory virus; infectious disease; Artificial intelligence,10.1021/acs.analchem.5c02722
149,Diagnosis of childhood febrile illness using a multi-class blood RNA molecular signature.,2023,diagnostics; infectious disease; childhood febrile illness; bacterial infection; viral infection; inflammatory disease; supervised machine learning; multi-class classifier; transcriptomic signature; paediatrics; blood RNA; biomarkers,10.1016/j.medj.2023.06.007
150,Rapid colorimetric antimicrobial susceptibilities direct from positive blood culture for Gram-negative bacteria.,2025,diagnostics; microbiology; infectious disease; sepsis; bacterial species (variety/broad); machine learning; radiology; antimicrobial,
151,Assessing advances in three decades of clinical antiretroviral therapy on the HIV-1 reservoir.,2024,therapeutics; infectious disease; HIV; machine learning,
152,Smartphone-Based SARS-CoV-2 and Variants Detection System using Colorimetric DNAzyme Reaction Triggered by Loop-Mediated Isothermal Amplification (LAMP) with Clustered Regularly Interspaced Short Palindromic Repeats (CRISPR).,2022,diagnostics; infectious disease; COVID-19; machine learning,
